Volatility 3 Framework 2.7.0

Offset	Name	Size

0x653038	\Windows\System32\wbem\WmiPrvSE.exe	128
0x653cd0	삈饡0	128
0x658820	\Windows\System32\clusapi.dll	128
0x658990	\Windows\System32\sscore.dll	128
0x658cb0	\Windows\System32\resutils.dll	128
0x658d58	\	128
0x7a0c20	\Endpoint	128
0x7a0dc8	\	128
0x7a0e80	\srvsvc	128
0xc4a568	\Windows\System32\diagperf.dll	128
0xc4a6c0	\Windows\System32\PortableDeviceApi.dll	128
0xc4add0	\Windows\System32\winevt\Logs\Microsoft-Windows-Diagnosis-DPS%4Operational.evtx	128
0xc59318	\Program Files\LibreOffice 3.6\program\configmgr.uno.dll	128
0xd52730	\Users\JOHNDO~1\AppData\Local\Temp\~DF0A247EB32CE4CAD9.TMP	128
0xd52ac0	\Windows\System32\msvcp60.dll	128
0xd95038	\Windows\System32	128
0xe46ae8	ꑐ锎sers\John Doe\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\E63A640A06A2B005AB42F3250BC98D9E_6020995806BF99A1FBC324A7B889F612	128
0xe46ec8	\Windows\System32\en-US\ActionCenter.dll.mui	128
0xe46f80	\Windows\System32\umrdp.dll	128
0x10d2778	\Windows\System32\devmgr.dll	128
0x10d2f80	\Windows\System32\usbmon.dll	128
0x120f560	\Windows\System32\WSDApi.dll	128
0x13c6038	\wkssvc	128
0x13c6ca0	\Windows\System32\NetProjW.dll	128
0x209f038	\Windows\System32\Apphlpdm.dll	128
0x2181d90	\Windows\System32\tprdpw32.dll	128
0x260a5b0	࢘鐀sers\John Doe\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\813BBCSN\1357558414[1].jpg	128
0x260a668	퀈ꌵsers\John Doe\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\5OVMNIRD\server-14.2.0[1].js	128
0x260a848	\Windows\Fonts\verdana.ttf	128
0x2e944d0	\Program Files\Internet Explorer\en-US\iexplore.exe.mui	128
0x3120778	\Windows\System32	128
0x3942ba8	\Windows\System32\linkinfo.dll	128
0x3a56158	\Windows\System32\taskhost.exe	128
0x419b680	\Windows\System32\upnp.dll	128
0x419b850	\Windows\System32\PortableDeviceConnectApi.dll	128
0x419bb60	\Windows\System32\wpdbusenum.dll	128
0x43d8af8	\Windows\System32\en-US\conhost.exe.mui	128
0x43fc778	\Windows\System32	128
0x45143d0	\Program Files\LibreOffice 3.6\program\dnd.dll	128
0x4514550	\Windows\System32\d3d10_1core.dll	128
0x4514a30	\Program Files\LibreOffice 3.6\program\drawinglayerlo.dll	128
0x451d4e0	\Windows\System32\control.exe	128
0x451dc00	\Windows\System32\wdiasqmmodule.dll	128
0x45cbec8	\Windows\System32\cscdll.dll	128
0x4812a80	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc	128
0x4812d78	\Endpoint	128
0x48d7178	\Windows\System32\dimsjob.dll	128
0x4c5e478	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x4c5e530	\Windows\System32\MdSched.exe	128
0x515f038	\Windows\System32\wdc.dll	128
0x515ff30	\Windows\Fonts\dosapp.fon	128
0x71efd90	\Windows\System32\tprdpw32.dll	128
0x72827c8	\Windows\System32\seclogon.dll	128
0x7282920	\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup\desktop.ini	128
0x7822410	\Windows\System32\tcpmon.dll	128
0x7822a98	\Program Files\LibreOffice 3.6\program\svtlo.dll	128
0x8171370	\Windows\System32\ntlanman.dll	128
0x81714f0	\Windows\System32\ExplorerFrame.dll	128
0x8171f80	\$Directory	128
0x8228708	\Windows\System32\consent.exe	128
0x8228b20	\Users\John Doe\AppData\Local\Microsoft\Windows\History\Low\History.IE5\index.dat	128
0x82b9728	\Windows\System32\HotStartUserAgent.dll	128
0x82b9a50	\Windows\System32\certCredProvider.dll	128
0x82b9b60	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x83c11a8	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x83c1600	\Program Files\LibreOffice 3.6\program\unoxmllo.dll	128
0x83c1a78	\Windows\System32\sppc.dll	128
0x83fb6c0	\Program Files\LibreOffice 3.6\program\uuilo.dll	128
0x8445c38	\Windows\System32\conhost.exe	128
0x8445e60	\Endpoint	128
0x84c44b8	\Program Files\VMware\VMware Tools\plugins\vmsvc\thinprint.dll	128
0x84c4648	\Program Files\VMware\VMware Tools\plugins\vmsvc\timeSync.dll	128
0x85c7230	\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4927_none_d08a205e442db5b5	128
0x8631230	\Users\John Doe\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\index.dat	128
0x8631df0	\$Directory	128
0x8748b58	\Windows\Fonts\cga80woa.fon	128
0x8749648	\Windows\System32\en-US\conhost.exe.mui	128
0x8749760	\Windows\System32\netcfgx.dll	128
0x8749930	\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Fax and Scan.lnk	128
0x874b738	\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4927_none_d08a205e442db5b5	128
0x874b7f0	\Windows\Fonts\cga40woa.fon	128
0x874bb58	\Windows\Fonts\ega40woa.fon	128
0x89a8c70	\Windows\System32\winevt\Logs\Microsoft-Windows-NetworkProfile%4Operational.evtx	128
0x89bcbf0	\Windows\System32\wbem\WMIADAP.exe	128
0x89bcec8	\Windows\System32\webservices.dll	128
0x89bcf80	\$Directory	128
