Volatility 3 Framework 2.7.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0xbab2288	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	N/A
0xbab2288	TCPv6	::	445	::	0	LISTENING	4	System	N/A
0xbbf5650	TCPv4	0.0.0.0	49161	0.0.0.0	0	LISTENING	560	services.exe	N/A
0xbebcc58	TCPv4	0.0.0.0	49161	0.0.0.0	0	LISTENING	560	services.exe	N/A
0xbebcc58	TCPv6	::	49161	::	0	LISTENING	560	services.exe	N/A
0x11c57650	TCPv4	0.0.0.0	49161	0.0.0.0	0	LISTENING	560	services.exe	N/A
0x182c9650	TCPv4	0.0.0.0	49161	0.0.0.0	0	LISTENING	560	services.exe	N/A
0x1c059910	TCPv4	192.168.1.66	58779	46.105.38.60	80	CLOSE_WAIT	1220	AvastSvc.exe	-
0x1d6eedc0	TCPv4	0.0.0.0	49157	0.0.0.0	0	LISTENING	928	svchost.exe	N/A
0x1d6eedc0	TCPv6	::	49157	::	0	LISTENING	928	svchost.exe	N/A
0x1d718688	UDPv6	::1	56828	*	0		3352	svchost.exe	2013-01-12 16:40:59.000000 
0x1d77fb78	TCPv4	192.168.1.66	58784	65.55.253.27	80	ESTABLISHED	1220	AvastSvc.exe	-
0x1d816a48	TCPv4	127.0.0.1	12025	0.0.0.0	0	LISTENING	1220	AvastSvc.exe	N/A
0x1d8270c0	TCPv4	127.0.0.1	12143	0.0.0.0	0	LISTENING	1220	AvastSvc.exe	N/A
0x1d8517b0	TCPv4	127.0.0.1	12119	0.0.0.0	0	LISTENING	1220	AvastSvc.exe	N/A
0x1d87b650	TCPv4	127.0.0.1	12995	0.0.0.0	0	LISTENING	1220	AvastSvc.exe	N/A
0x1d8a55d8	TCPv4	127.0.0.1	12465	0.0.0.0	0	LISTENING	1220	AvastSvc.exe	N/A
0x1d8cf310	TCPv4	127.0.0.1	12993	0.0.0.0	0	LISTENING	1220	AvastSvc.exe	N/A
0x1d8fadc0	TCPv4	127.0.0.1	12563	0.0.0.0	0	LISTENING	1220	AvastSvc.exe	N/A
0x1d8ffdc0	TCPv4	127.0.0.1	27275	0.0.0.0	0	LISTENING	1220	AvastSvc.exe	N/A
0x1d901bd0	TCPv4	192.168.1.66	49156	77.234.42.54	80	ESTABLISHED	1220	AvastSvc.exe	-
0x1d92e240	TCPv4	127.0.0.1	12080	127.0.0.1	49178	ESTABLISHED	1220	AvastSvc.exe	-
0x1d9ebdf8	TCPv4	192.168.1.66	58793	213.152.6.106	80	ESTABLISHED	1220	AvastSvc.exe	-
0x1dbc89c8	TCPv4	127.0.0.1	12110	0.0.0.0	0	LISTENING	1220	AvastSvc.exe	N/A
0x1de5a288	TCPv4	0.0.0.0	49153	0.0.0.0	0	LISTENING	832	svchost.exe	N/A
0x1de5c230	TCPv4	0.0.0.0	49153	0.0.0.0	0	LISTENING	832	svchost.exe	N/A
0x1de5c230	TCPv6	::	49153	::	0	LISTENING	832	svchost.exe	N/A
0x1dea5838	UDPv4	0.0.0.0	5355	*	0		1172	svchost.exe	2013-01-12 16:39:29.000000 
0x1dedb4f8	TCPv4	127.0.0.1	49178	127.0.0.1	12080	ESTABLISHED	2772	iexplore.exe	-
0x1df689c8	TCPv4	127.0.0.1	12080	0.0.0.0	0	LISTENING	1220	AvastSvc.exe	N/A
0x1e0348a0	TCPv4	192.168.1.66	139	0.0.0.0	0	LISTENING	4	System	N/A
0x1e034c80	UDPv4	192.168.1.66	137	*	0		4	System	2013-01-12 16:38:16.000000 
0x1e03e440	UDPv4	192.168.1.66	138	*	0		4	System	2013-01-12 16:38:16.000000 
0x1e176d40	UDPv4	0.0.0.0	0	*	0		1172	svchost.exe	2013-01-12 16:39:29.000000 
0x1e176d40	UDPv6	::	0	*	0		1172	svchost.exe	2013-01-12 16:39:29.000000 
0x1e1d7008	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	764	svchost.exe	N/A
0x1e1eea00	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	764	svchost.exe	N/A
0x1e1eea00	TCPv6	::	135	::	0	LISTENING	764	svchost.exe	N/A
0x1e1f8688	TCPv4	0.0.0.0	49152	0.0.0.0	0	LISTENING	456	wininit.exe	N/A
0x1e1fdab8	TCPv4	0.0.0.0	49152	0.0.0.0	0	LISTENING	456	wininit.exe	N/A
0x1e1fdab8	TCPv6	::	49152	::	0	LISTENING	456	wininit.exe	N/A
0x1e7f83c8	TCPv4	0.0.0.0	49154	0.0.0.0	0	LISTENING	576	lsass.exe	N/A
0x1e7f83c8	TCPv6	::	49154	::	0	LISTENING	576	lsass.exe	N/A
0x1ea3f7b0	TCPv4	0.0.0.0	49157	0.0.0.0	0	LISTENING	928	svchost.exe	N/A
0x1edeb008	TCPv4	192.168.1.66	49179	106.187.94.116	80	ESTABLISHED	1220	AvastSvc.exe	-
0x1f3adc58	TCPv4	0.0.0.0	49154	0.0.0.0	0	LISTENING	576	lsass.exe	N/A
0x1fa0b278	TCPv4	127.0.0.1	12080	127.0.0.1	58783	ESTABLISHED	1220	AvastSvc.exe	-
0x1fa21008	TCPv4	127.0.0.1	58785	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1fa23df8	TCPv4	192.168.1.66	58796	94.245.117.47	80	ESTABLISHED	1220	AvastSvc.exe	-
0x1fa25a48	TCPv4	192.168.1.66	58816	205.185.216.10	80	CLOSE_WAIT	1220	AvastSvc.exe	-
0x1fa26008	TCPv4	192.168.1.66	58807	81.171.102.234	80	CLOSE_WAIT	1220	AvastSvc.exe	-
0x1fa31718	TCPv4	192.168.1.66	58786	217.212.238.42	80	ESTABLISHED	1220	AvastSvc.exe	-
0x1fa36df8	TCPv4	192.168.1.66	58735	93.184.220.20	80	CLOSED	1220	AvastSvc.exe	-
0x1fa3d880	TCPv4	127.0.0.1	12080	127.0.0.1	58781	ESTABLISHED	1220	AvastSvc.exe	-
0x1fa3ea48	TCPv4	127.0.0.1	58808	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1fa41008	TCPv4	127.0.0.1	58797	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1fa43008	TCPv4	192.168.1.66	58798	204.236.147.150	80	CLOSE_WAIT	1220	AvastSvc.exe	-
0x1fa468b0	TCPv4	127.0.0.1	58747	127.0.0.1	12080	CLOSED	3044	iexplore.exe	-
0x1fa4ddf8	TCPv4	127.0.0.1	12080	127.0.0.1	58762	ESTABLISHED	1220	AvastSvc.exe	-
0x1fa54008	TCPv4	127.0.0.1	12080	127.0.0.1	58815	ESTABLISHED	1220	AvastSvc.exe	-
0x1fa5a008	TCPv4	127.0.0.1	12080	127.0.0.1	58785	ESTABLISHED	1220	AvastSvc.exe	-
0x1fa5aa58	TCPv4	127.0.0.1	12080	127.0.0.1	58791	ESTABLISHED	1220	AvastSvc.exe	-
0x1fa5f3d8	TCPv4	127.0.0.1	58823	127.0.0.1	12080	CLOSED	3044	iexplore.exe	-
0x1fa60df8	TCPv4	127.0.0.1	12080	127.0.0.1	58817	ESTABLISHED	1220	AvastSvc.exe	-
0x1fa78ac0	TCPv4	127.0.0.1	58806	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1fa80880	TCPv4	127.0.0.1	58781	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1fa83c98	TCPv4	127.0.0.1	58727	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1fa859c0	TCPv4	127.0.0.1	58740	127.0.0.1	12080	CLOSED	3044	iexplore.exe	N/A
0x1fa86008	TCPv4	127.0.0.1	12080	127.0.0.1	58751	CLOSED	1220	AvastSvc.exe	-
0x1fa9a678	TCPv4	127.0.0.1	58787	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1faa7008	TCPv4	192.168.1.66	58824	184.73.248.250	80	CLOSED	1220	AvastSvc.exe	-
0x1faa8bb0	TCPv4	127.0.0.1	12080	127.0.0.1	58738	ESTABLISHED	1220	AvastSvc.exe	-
0x1faa97f8	TCPv4	127.0.0.1	58742	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1faaac30	TCPv4	127.0.0.1	12080	127.0.0.1	58749	ESTABLISHED	1220	AvastSvc.exe	-
0x1fab1c30	TCPv4	192.168.1.66	58822	93.184.220.20	80	CLOSE_WAIT	1220	AvastSvc.exe	-
0x1fab2008	TCPv4	127.0.0.1	58791	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1fab2df8	TCPv4	127.0.0.1	12080	127.0.0.1	58808	ESTABLISHED	1220	AvastSvc.exe	-
0x1fabc9c0	TCPv4	127.0.0.1	12080	127.0.0.1	58823	CLOSED	1220	AvastSvc.exe	N/A
0x1fabfa30	TCPv4	192.168.1.66	58818	213.152.6.122	80	ESTABLISHED	1220	AvastSvc.exe	-
0x1fac1708	TCPv4	192.168.1.66	58734	54.243.162.238	80	ESTABLISHED	1220	AvastSvc.exe	-
0x1face008	TCPv4	127.0.0.1	12080	127.0.0.1	58787	ESTABLISHED	1220	AvastSvc.exe	-
0x1face838	TCPv4	127.0.0.1	12080	127.0.0.1	58795	ESTABLISHED	1220	AvastSvc.exe	-
0x1fad2988	TCPv4	127.0.0.1	58749	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1fad3880	TCPv4	192.168.1.66	58812	74.125.230.251	80	ESTABLISHED	1220	AvastSvc.exe	-
0x1fad3c30	TCPv4	127.0.0.1	58762	127.0.0.1	12080	ESTABLISHED	1172	svchost.exe	-
0x1fad7df8	TCPv4	127.0.0.1	12080	127.0.0.1	58733	ESTABLISHED	1220	AvastSvc.exe	-
0x1fada310	TCPv4	127.0.0.1	58733	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1fadacc0	TCPv4	192.168.1.66	58794	94.245.117.47	80	ESTABLISHED	1220	AvastSvc.exe	-
0x1fadbbd0	TCPv4	192.168.1.66	58732	107.21.110.107	80	ESTABLISHED	1220	AvastSvc.exe	-
0x1fae1ba0	TCPv4	127.0.0.1	58815	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1fae8008	TCPv4	127.0.0.1	12080	127.0.0.1	58758	ESTABLISHED	1220	AvastSvc.exe	-
0x1fae8df8	TCPv4	192.168.1.66	58788	94.245.117.52	80	ESTABLISHED	1220	AvastSvc.exe	-
0x1faeddf8	TCPv4	127.0.0.1	58811	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1faf7280	TCPv4	192.168.1.66	58763	63.238.84.59	80	ESTABLISHED	1220	AvastSvc.exe	-
0x1faf7c58	TCPv4	127.0.0.1	58783	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1fafe208	TCPv4	127.0.0.1	58738	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1fb80df8	TCPv4	127.0.0.1	58792	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1fbb1df8	TCPv4	127.0.0.1	12080	127.0.0.1	58742	ESTABLISHED	1220	AvastSvc.exe	-
0x1fbca1a0	UDPv4	127.0.0.1	60151	*	0		3044	iexplore.exe	2013-01-12 16:57:47.000000 
0x1fca0820	TCPv4	127.0.0.1	58729	127.0.0.1	12080	CLOSED	3044	iexplore.exe	-
0x1fca7588	UDPv6	::1	1900	*	0		3352	svchost.exe	2013-01-12 16:40:59.000000 
0x1fccadf8	TCPv4	192.168.1.66	58809	174.129.13.13	80	CLOSE_WAIT	1220	AvastSvc.exe	-
0x1fce5a20	TCPv4	192.168.1.66	58772	195.154.120.68	80	CLOSE_WAIT	1220	AvastSvc.exe	-
0x1fd0bc58	TCPv4	192.168.1.66	58739	74.125.230.198	80	ESTABLISHED	1220	AvastSvc.exe	-
0x1fd1de98	UDPv4	127.0.0.1	56830	*	0		3352	svchost.exe	2013-01-12 16:40:59.000000 
0x1fd1df50	UDPv4	192.168.1.66	1900	*	0		3352	svchost.exe	2013-01-12 16:40:59.000000 
0x1fd4b7a0	UDPv4	192.168.1.66	56829	*	0		3352	svchost.exe	2013-01-12 16:40:59.000000 
0x1fd57da0	TCPv4	127.0.0.1	58795	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1fd58c30	TCPv4	127.0.0.1	12080	127.0.0.1	58731	ESTABLISHED	1220	AvastSvc.exe	-
