Volatility 3 Framework 2.7.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0x87978b78	103	3257	N/A	False	2013-01-12 16:38:09.000000 	N/A	Disabled
308	4	smss.exe	0x88c3ed40	2	29	N/A	False	2013-01-12 16:38:09.000000 	N/A	Disabled
404	396	csrss.exe	0x8929fd40	9	469	0	False	2013-01-12 16:38:14.000000 	N/A	Disabled
456	396	wininit.exe	0x892ac2b8	3	77	0	False	2013-01-12 16:38:14.000000 	N/A	Disabled
468	448	csrss.exe	0x88d03a00	10	471	1	False	2013-01-12 16:38:14.000000 	N/A	Disabled
500	448	winlogon.exe	0x892ced40	3	111	1	False	2013-01-12 16:38:14.000000 	N/A	Disabled
560	456	services.exe	0x896294c0	6	205	0	False	2013-01-12 16:38:16.000000 	N/A	Disabled
576	456	lsass.exe	0x896427b8	6	566	0	False	2013-01-12 16:38:16.000000 	N/A	Disabled
584	456	lsm.exe	0x8962f7e8	10	142	0	False	2013-01-12 16:38:16.000000 	N/A	Disabled
692	560	svchost.exe	0x8962f030	10	353	0	False	2013-01-12 16:38:21.000000 	N/A	Disabled
764	560	svchost.exe	0x897b5c20	7	263	0	False	2013-01-12 16:38:23.000000 	N/A	Disabled
832	560	svchost.exe	0x89805420	19	435	0	False	2013-01-12 16:38:23.000000 	N/A	Disabled
904	560	svchost.exe	0x89852918	17	409	0	False	2013-01-12 16:38:24.000000 	N/A	Disabled
928	560	svchost.exe	0x8986b030	26	869	0	False	2013-01-12 16:38:24.000000 	N/A	Disabled
1084	560	svchost.exe	0x898911a8	10	257	0	False	2013-01-12 16:38:26.000000 	N/A	Disabled
1172	560	svchost.exe	0x898b2790	15	475	0	False	2013-01-12 16:38:27.000000 	N/A	Disabled
1220	560	AvastSvc.exe	0x898a7868	66	1180	0	False	2013-01-12 16:38:28.000000 	N/A	Disabled
1712	560	spoolsv.exe	0x8a0f9c40	14	338	0	False	2013-01-12 16:38:58.000000 	N/A	Disabled
1748	560	svchost.exe	0x8a102748	18	310	0	False	2013-01-12 16:38:58.000000 	N/A	Disabled
1872	560	sppsvc.exe	0x88cded40	4	143	0	False	2013-01-12 16:39:02.000000 	N/A	Disabled
1968	560	vmtoolsd.exe	0x8a1d84e0	6	220	0	False	2013-01-12 16:39:14.000000 	N/A	Disabled
